"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Angola"
"5","Argentina"
"6","Armenia"
"7","Australia"
"8","Austria"
"9","Azerbaijan"
"10","Bahamas"
"11","Bahrain"
"12","Bangladesh"
"13","Belarus"
"14","Belgium"
"15","Benin"
"16","Bolivia"
"17","Bosnia And Herzegovina"
"18","Botswana"
"19","Brazil"
"20","Bulgaria"
"21","Burkina Faso"
"22","Burma"
"23","Burundi"
"24","Côte D'Ivoire"
"25","Cambodia"
"26","Cameroon"
"27","Canada"
"28","Central African Republic"
"29","Chad"
"30","Chile"
"31","China"
"32","Colombia"
"33","Congo"
"34","Congo (Democratic Republic Of The)"
"35","Costa Rica"
"36","Croatia"
"37","Cuba"
"38","Cyprus"
"39","Czech Republic"
"40","Denmark"
"41","Djibouti"
"42","Dominican Republic"
"43","Ecuador"
"44","Egypt"
"45","El Salvador"
"46","Equatorial Guinea"
"47","Eritrea"
"48","Estonia"
"49","Ethiopia"
"50","Finland"
"51","France"
"52","Gabon"
"53","Gambia"
"54","Georgia"
"55","Germany"
"56","Ghana"
"57","Greece"
"58","Guatemala"
"59","Guinea"
"60","Guinea Bissau"
"61","Guyana"
"62","Haiti"
"63","Honduras"
"64","Hong Kong"
"65","Hungary"
"66","Iceland"
"67","India"
"68","Indonesia"
"69","Iran"
"70","Iraq"
"71","Ireland"
"72","Israel"
"73","Italy"
"74","Jamaica"
"75","Japan"
"76","Jordan"
"77","Kazakhstan"
"78","Kenya"
"79","Laos"
"80","Latvia"
"81","Lebanon"
"82","Lesotho"
"83","Liberia"
"84","Libya"
"85","Lithuania"
"86","Macedonia"
"87","Madagascar"
"88","Malawi"
"89","Malaysia"
"90","Mali"
"91","Mauritania"
"92","Mauritius"
"93","Mexico"
"94","Moldova"
"95","Mongolia"
"96","Montenegro"
"97","Morocco"
"98","Mozambique"
"99","Namibia"
"100","Nepal"
"101","Netherlands"
"102","New Zealand"
"103","Nicaragua"
"104","Niger"
"105","Nigeria"
"106","Norway"
"107","Oman"
"108","Pakistan"
"109","Panama"
"110","Papua New Guinea"
"111","Paraguay"
"112","Peru"
"113","Philippines"
"114","Poland"
"115","Portugal"
"116","Puerto Rico"
"117","Qatar"
"118","Reunion"
"119","Romania"
"120","Russia"
"121","Rwanda"
"122","Saudi Arabia"
"123","Senegal"
"124","Serbia"
"125","Sierra Leone"
"126","Singapore"
"127","Slovakia"
"128","Slovenia"
"129","Somalia"
"130","South Africa"
"131","South Korea"
"132","Spain"
"133","Sri Lanka"
"134","Sudan"
"135","Suriname"
"136","Swaziland"
"137","Sweden"
"138","Switzerland"
"139","Syria"
"140","Taiwan"
"141","Tajikistan"
"142","Tanzania"
"143","Thailand"
"144","Togo"
"145","Tunisia"
"146","Turkey"
"147","Turkmenistan"
"148","Uganda"
"149","Ukraine"
"150","United Arab Emirates"
"151","United Kingdom"
"152","United States"
"153","Uruguay"
"154","Uzbekistan"
"155","Venezuela"
"156","Vietnam"
"157","Yemen"
"158","Zambia"
"159","Zimbabwe"
